Unnamed: 0,Morphology_R,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,lexome1,lexome2,form,participant,frequency,origin,predicted,pred_correct,simplify_delete_obstruent.1,simplify_delete_lateral.1,nasalize.1,lateralize.1,tensify.1,neural_prediction,neural_correct_wrong
177,halT-na,halna,lT-n,halna,1.0,0.0,0.0,0.0,,halT,na,halna,556014,low,train,halna,yes,1.0,0.0,0.0,0.0,,halpna,no
178,hulT-na,hulna,lT-n,hulna,1.0,0.0,0.0,0.0,,hulT,na,hulna,556014,low,train,hulna,yes,1.0,0.0,0.0,0.0,,hulpna,no
179,hulT-ta,hulda,lT-t,hulda,1.0,0.0,,,1.0,hulT,ta,hulda,556014,low,train,hulda,yes,1.0,0.0,,0.0,1.0,hulda,yes
180,hulT-v,hulTv,lT-v,hulTv,0.0,0.0,,,0.0,hulT,v,hulTv,556014,low,train,hulTv,yes,0.0,0.0,,0.0,0.0,hulkv,no
181,kalk-ta,kalda,lk-t,kalda,1.0,0.0,,,1.0,kalk,ta,kalda,556033,low,train,kalda,yes,1.0,0.0,,0.0,1.0,kalda,yes
182,kalk-a,kalka,lk-a,kalka,0.0,0.0,,,0.0,kalk,a,kalka,556033,low,train,kalka,yes,0.0,0.0,,0.0,0.0,kalga,no
183,kalk-na,kalkna,lk-n,kalkna,0.0,0.0,0.0,0.0,,kalk,na,kalkna,556033,low,train,kalkna,yes,0.0,0.0,0.0,0.0,,kalna,no
184,kvP-v,kvPv,P-v,kvPv,,,,,0.0,kvP,v,kvPv,556033,nonce,train,kvPv,yes,,,,,0.0,kvpdv,no
185,kvP-ta,kvpda,P-t,kvpda,,,,,1.0,kvP,ta,kvpda,556033,nonce,train,kvpda,yes,,,,,1.0,kvpda,yes
186,kvP-na,kvPna,P-n,kvPna,,,0.0,,,kvP,na,kvPna,556033,nonce,train,kvmna,no,,,1.0,,,kvpna,no
187,kjvlp-v,kyvlpv,lp-v,kyvlpv,0.0,0.0,,,0.0,kjvlp,v,kyvlpv,556033,nonce,train,kyvlpv,yes,1.0,0.0,,0.0,0.0,kilvpv,no
188,kjvlp-na,kyvlmna,lp-n,kyvlmna,0.0,0.0,1.0,0.0,,kjvlp,na,kyvlmna,556033,nonce,train,kyvlmna,yes,1.0,0.0,1.0,0.0,,kvlpna,no
189,kjvlp-ta,kyvpta,lp-t,kyvpta,0.0,1.0,,,0.0,kjvlp,ta,kyvpta,556033,nonce,train,kyvlpda,no,1.0,0.0,,0.0,1.0,kilvpda,no
190,kulk-na,kukna,lk-n,kukna,0.0,1.0,0.0,0.0,,kulk,na,kukna,556033,high,train,kuNna,no,1.0,1.0,1.0,0.0,,kulna,no
191,kulk-v,kulkv,lk-v,kulkv,0.0,0.0,,,0.0,kulk,v,kulkv,556033,high,train,kulkv,yes,0.0,0.0,,0.0,0.0,kulkv,yes
192,kulk-ta,kulda,lk-t,kulda,1.0,0.0,,,1.0,kulk,ta,kulda,556033,high,train,kulda,yes,1.0,0.0,,0.0,1.0,kulda,yes
193,kxlk-ta,kxkda,lk-t,kxkda,0.0,1.0,,,1.0,kxlk,ta,kxkda,556033,low,train,kxlkda,no,0.0,0.0,,0.0,1.0,kxlda,no
194,kxlk-v,kxlkv,lk-v,kxlkv,0.0,0.0,,,0.0,kxlk,v,kxlkv,556033,low,train,kxlkv,yes,0.0,0.0,,0.0,0.0,kxlkv,yes
195,kxlk-na,kxlna,lk-n,kxlna,1.0,0.0,0.0,0.0,,kxlk,na,kxlna,556033,low,train,kxNna,no,1.0,1.0,1.0,0.0,,kxNna,no
196,kxlP-v,kxlPv,lP-v,kxlPv,0.0,0.0,,,0.0,kxlP,v,kxlPv,556033,nonce,train,kxlPv,yes,0.0,0.0,,0.0,0.0,kxlpv,no
197,nalk-a,nalka,lk-a,nalka,0.0,0.0,,,0.0,nalk,a,nalka,556033,high,train,nalka,yes,0.0,0.0,,0.0,0.0,nalga,no
198,nalk-ta,nalkda,lk-t,nalkda,0.0,0.0,,,1.0,nalk,ta,nalkda,556033,high,train,nalkda,yes,0.0,0.0,,0.0,1.0,nalda,no
199,nalk-na,nalkna,lk-n,nalkna,0.0,0.0,0.0,0.0,,nalk,na,nalkna,556033,high,train,naNna,no,1.0,1.0,1.0,0.0,,nalnka,no
200,nalp-na,napna,lp-n,napna,0.0,1.0,0.0,0.0,,nalp,na,napna,556033,nonce,train,nalmna,no,1.0,0.0,1.0,0.0,,nalpna,no
201,nalp-ta,nalpda,lp-t,nalpda,0.0,0.0,,,1.0,nalp,ta,nalpda,556033,nonce,train,nalpda,yes,0.0,0.0,,0.0,1.0,nalda,no
202,nalp-a,nalpa,lp-a,nalpa,0.0,0.0,,,0.0,nalp,a,nalpa,556033,nonce,train,nalpa,yes,0.0,0.0,,0.0,0.0,nalpa,yes
203,neT-v,neTv,T-v,neTv,,,,,0.0,neT,v,neTv,556033,nonce,train,neTv,yes,,,,,0.0,netgv,no
204,nvlp-v,nvlpv,lp-v,nvlpv,0.0,0.0,,,0.0,nvlp,v,nvlpv,556033,high,train,nvlpv,yes,0.0,0.0,,0.0,0.0,nvlpv,yes
205,nvlp-na,nvlmna,lp-n,nvlmna,0.0,0.0,1.0,0.0,,nvlp,na,nvlmna,556033,high,train,,no,1.0,1.0,0.0,0.0,,nvlpna,no
206,nvlp-ta,nvlda,lp-t,nvlda,1.0,0.0,,,1.0,nvlp,ta,nvlda,556033,high,train,nvlda,yes,1.0,0.0,,0.0,1.0,nvlda,yes
207,nuk-v,nukv,k-v,nukv,,,,,0.0,nuk,v,nukv,556033,nonce,train,nukv,yes,,,,,0.0,nukv,yes
208,nuk-na,nukna,k-n,nukna,,,0.0,,,nuk,na,nukna,556033,nonce,train,nuNna,no,,,1.0,,,nukna,yes
209,nuk-ta,nukta,k-t,nukta,,,,,0.0,nuk,ta,nukta,556033,nonce,train,nukda,no,,,,,1.0,nukda,no
210,nxlk-ta,nxlda,lk-t,nxlda,1.0,0.0,,,1.0,nxlk,ta,nxlda,556033,high,train,,no,1.0,1.0,,0.0,0.0,nxlda,yes
211,nxlk-v,nxlkv,lk-v,nxlkv,0.0,0.0,,,0.0,nxlk,v,nxlkv,556033,high,train,nxlkv,yes,0.0,0.0,,0.0,0.0,nxlkv,yes
212,nxlk-na,nxkna,lk-n,nxkna,0.0,1.0,0.0,0.0,,nxlk,na,nxkna,556033,high,train,nxNna,no,1.0,1.0,1.0,0.0,,nxNna,no
213,tvlp-na,tvpna,lp-n,tvpna,0.0,1.0,0.0,0.0,,tvlp,na,tvpna,556033,nonce,train,tvlmna,no,1.0,0.0,1.0,0.0,,tvlpna,no
214,tvlp-v,tvlpv,lp-v,tvlpv,0.0,0.0,,,0.0,tvlp,v,tvlpv,556033,nonce,train,tvlpv,yes,0.0,0.0,,0.0,0.0,tvlpv,yes
215,tvlp-ta,tvlpda,lp-t,tvlpda,0.0,0.0,,,1.0,tvlp,ta,tvlpda,556033,nonce,train,tvlpda,yes,0.0,0.0,,0.0,1.0,tvlda,no
216,tok-a,toka,k-a,toka,,,,,0.0,tok,a,toka,556033,nonce,train,toka,yes,,,,,0.0,tokga,no
217,tok-ta,tokda,k-t,tokda,,,,,1.0,tok,ta,tokda,556033,nonce,train,tokda,yes,,,,,1.0,tokda,yes
218,tok-na,toNna,k-n,toNna,,,1.0,,,tok,na,toNna,556033,nonce,train,toNna,yes,,,1.0,,,toNna,yes
219,tup-ta,tupda,p-t,tupda,,,,,1.0,tup,ta,tupda,556033,nonce,train,tupda,yes,,,,,1.0,tupda,yes
220,tup-na,tumna,p-n,tumna,,,1.0,,,tup,na,tumna,556033,nonce,train,tumna,yes,,,1.0,,,tupna,no
221,tup-v,tupv,p-v,tupv,,,,,0.0,tup,v,tupv,556033,nonce,train,tupv,yes,,,,,0.0,tupv,yes
222,txlk-ta,txkta,lk-t,txkta,0.0,1.0,,,0.0,txlk,ta,txkta,556033,nonce,train,txkda,no,1.0,1.0,,0.0,1.0,txlkda,no
223,txlk-v,txlkv,lk-v,txlkv,0.0,0.0,,,0.0,txlk,v,txlkv,556033,nonce,train,txlkv,yes,0.0,0.0,,0.0,0.0,txlkv,yes
224,txlk-na,txlna,lk-n,txlna,1.0,0.0,0.0,0.0,,txlk,na,txlna,556033,nonce,train,txNna,no,1.0,1.0,1.0,0.0,,txNna,no
225,dvlp-na,dvlpna,lp-n,dvlpna,0.0,0.0,0.0,0.0,,dvlp,na,dvlpna,556033,low,train,dvlpna,yes,0.0,0.0,0.0,0.0,,dvlpna,yes
226,dvlp-v,dvlpv,lp-v,dvlpv,0.0,0.0,,,0.0,dvlp,v,dvlpv,556033,low,train,dvlpv,yes,0.0,0.0,,0.0,1.0,dvlpv,yes
227,dvlp-ta,dvlpda,lp-t,dvlpda,0.0,0.0,,,1.0,dvlp,ta,dvlpda,556033,low,train,dvlpda,yes,0.0,0.0,,0.0,1.0,dvlda,no
228,mak-a,maka,k-a,maka,,,,,0.0,mak,a,maka,556033,high,train,maka,yes,,,,,0.0,maka,yes
229,mak-ta,makda,k-t,makda,,,,,1.0,mak,ta,makda,556033,high,train,makda,yes,,,,,1.0,makda,yes
230,mak-na,maNna,k-n,maNna,,,1.0,,,mak,na,maNna,556033,high,train,maNna,yes,,,1.0,,,maNna,yes
231,malk-ta,malkda,lk-t,malkda,0.0,0.0,,,1.0,malk,ta,malkda,556033,high,train,malkda,yes,0.0,0.0,,0.0,1.0,malkda,yes
232,malk-a,malka,lk-a,malka,0.0,0.0,,,0.0,malk,a,malka,556033,high,train,malka,yes,0.0,0.0,,0.0,0.0,malga,no
233,malk-na,malkna,lk-n,malkna,0.0,0.0,0.0,0.0,,malk,na,malkna,556033,high,train,malna,no,1.0,0.0,0.0,0.0,,malnka,no
234,mvlk-na,mvlkna,lk-n,mvlkna,0.0,0.0,0.0,0.0,,mvlk,na,mvlkna,556033,nonce,train,mvNna,no,1.0,1.0,1.0,0.0,,mvkna,no
235,mvlk-v,mvlkv,lk-v,mvlkv,0.0,0.0,,,0.0,mvlk,v,mvlkv,556033,nonce,train,mvlkv,yes,0.0,0.0,,0.0,0.0,mvlkv,yes
236,mvlk-ta,mvkda,lk-t,mvkda,0.0,1.0,,,1.0,mvlk,ta,mvkda,556033,nonce,train,mvlda,no,1.0,0.0,,0.0,1.0,mvlkda,no
237,muk-v,mukv,k-v,mukv,,,,,0.0,muk,v,mukv,556033,low,train,mukv,yes,,,,,0.0,mukv,yes
238,muk-na,mukna,k-n,mukna,,,0.0,,,muk,na,mukna,556033,low,train,muNna,no,,,1.0,,,mukna,yes
239,muk-ta,mukda,k-t,mukda,,,,,1.0,muk,ta,mukda,556033,low,train,mukda,yes,,,,,1.0,mukda,yes
240,mulk-ta,mulda,lk-t,mulda,1.0,0.0,,,1.0,mulk,ta,mulda,556033,low,train,mulda,yes,1.0,0.0,,0.0,1.0,mulkda,no
241,mulk-v,mulkv,lk-v,mulkv,0.0,0.0,,,0.0,mulk,v,mulkv,556033,low,train,mulkv,yes,0.0,0.0,,0.0,0.0,mulkv,yes
242,mulk-na,mulkna,lk-n,mulkna,0.0,0.0,0.0,0.0,,mulk,na,mulkna,556033,low,train,muNna,no,1.0,1.0,1.0,0.0,,mukna,no
243,pak-a,paka,k-a,paka,,,,,0.0,pak,a,paka,556033,high,train,paka,yes,,,,,0.0,paka,yes
244,pak-ta,pakta,k-t,pakta,,,,,0.0,pak,ta,pakta,556033,high,train,pakda,no,,,,,1.0,pakda,no
245,pak-na,paNna,k-n,paNna,,,1.0,,,pak,na,paNna,556033,high,train,paNna,yes,,,1.0,,,panka,no
246,palk-na,palkna,lk-n,palkna,0.0,0.0,0.0,0.0,,palk,na,palkna,556033,high,train,paNna,no,1.0,1.0,1.0,0.0,,palkna,yes
247,palk-a,palka,lk-a,palka,0.0,0.0,,,0.0,palk,a,palka,556033,high,train,palka,yes,0.0,0.0,,0.0,0.0,palka,yes
248,palk-ta,palda,lk-t,palda,1.0,0.0,,,1.0,palk,ta,palda,556033,high,train,palda,yes,1.0,0.0,,0.0,1.0,palda,yes
249,palp-na,palmna,lp-n,palmna,0.0,0.0,1.0,0.0,,palp,na,palmna,556033,high,train,palmna,yes,1.0,0.0,1.0,0.0,,palpna,no
250,palp-ta,palda,lp-t,palda,1.0,0.0,,,1.0,palp,ta,palda,556033,high,train,palpda,no,0.0,0.0,,0.0,1.0,palda,yes
251,palp-a,palpa,lp-a,palpa,0.0,0.0,,,0.0,palp,a,palpa,556033,high,train,palpa,yes,0.0,0.0,,0.0,0.0,palpa,yes
252,peT-v,peTv,T-v,peTv,,,,,0.0,peT,v,peTv,556033,low,train,peTv,yes,,,,,0.0,petdv,no
253,peT-ta,petda,T-t,petda,,,,,1.0,peT,ta,petda,556033,low,train,petda,yes,,,,,1.0,petda,yes
254,peT-na,peTna,T-n,peTna,,,0.0,,,peT,na,peTna,556033,low,train,penna,no,,,1.0,,,petna,no
255,kvp-v,pvpv,p-v,pvpv,,,,,0.0,kvp,v,pvpv,556033,nonce,train,pvpv,yes,,,,,0.0,kvpv,no
256,kvp-ta,pvpda,p-t,pvpda,,,,,1.0,kvp,ta,pvpda,556033,nonce,train,pvpda,yes,,,,,1.0,kvpda,no
257,kvp-na,pvpna,p-n,pvpna,,,0.0,,,kvp,na,pvpna,556033,nonce,train,pvmna,no,,,1.0,,,kvpna,no
258,pulk-v,pulkv,lk-v,pulkv,0.0,0.0,,,0.0,pulk,v,pulkv,556033,high,train,pulkv,yes,0.0,0.0,,0.0,0.0,pulkv,yes
259,pulk-na,pukna,lk-n,pukna,0.0,1.0,0.0,0.0,,pulk,na,pukna,556033,high,train,pukna,yes,1.0,1.0,0.0,0.0,,pulkna,no
260,pulk-ta,pulda,lk-t,pulda,1.0,0.0,,,1.0,pulk,ta,pulda,556033,high,train,pulda,yes,1.0,0.0,,0.0,1.0,pulda,yes
261,pulT-na,punna,lT-n,punna,0.0,1.0,1.0,0.0,,pulT,na,punna,556033,nonce,train,pulna,no,1.0,0.0,0.0,0.0,,pulkna,no
262,pulT-v,puTv,lT-v,puTv,0.0,1.0,,,0.0,pulT,v,puTv,556033,nonce,train,pulTv,no,0.0,0.0,,0.0,0.0,pulkv,no
263,pulT-ta,pulda,lT-t,pulda,1.0,0.0,,,1.0,pulT,ta,pulda,556033,nonce,train,pulda,yes,1.0,0.0,,0.0,1.0,pulda,yes
264,bop-ta,bopda,p-t,bopda,,,,,1.0,bop,ta,bopda,556033,high,train,bopda,yes,,,,,1.0,popda,no
265,bop-na,bomna,p-n,bomna,,,1.0,,,bop,na,bomna,556033,high,train,bomna,yes,,,1.0,,,popna,no
266,bop-a,bopa,p-a,bopa,,,,,0.0,bop,a,bopa,556033,high,train,bopa,yes,,,,,1.0,popapa,no
267,sok-na,sokna,k-n,sokna,,,0.0,,,sok,na,sokna,556033,low,train,soNna,no,,,1.0,,,*soNa,no
268,sok-a,soka,k-a,soka,,,,,0.0,sok,a,soka,556033,low,train,soka,yes,,,,,0.0,sokga,no
269,sok-ta,sokda,k-t,sokda,,,,,1.0,sok,ta,sokda,556033,low,train,sokda,yes,,,,,1.0,sokda,yes
270,sulk-na,sukna,lk-n,sukna,0.0,1.0,0.0,0.0,,sulk,na,sukna,556033,nonce,train,suNna,no,1.0,1.0,1.0,0.0,,*sumna,no
271,sulk-v,sukv,lk-v,sukv,0.0,1.0,,,0.0,sulk,v,sukv,556033,nonce,train,sulkv,no,0.0,0.0,,0.0,0.0,sulkv,no
272,sulk-ta,sulkda,lk-t,sulkda,0.0,0.0,,,1.0,sulk,ta,sulkda,556033,nonce,train,sulkda,yes,0.0,0.0,,0.0,1.0,sulkda,yes
273,sik-na,sikna,k-n,sikna,,,0.0,,,sik,na,sikna,556033,low,train,siNna,no,,,1.0,,,sikna,yes
274,sik-ta,sikda,k-t,sikda,,,,,1.0,sik,ta,sikda,556033,low,train,sikda,yes,,,,,1.0,sikda,yes
275,sik-v,sikv,k-v,sikv,,,,,0.0,sik,v,sikv,556033,low,train,sikv,yes,,,,,0.0,sikv,yes
276,Svk-na,Svkna,k-n,Svkna,,,0.0,,,Svk,na,Svkna,556033,high,train,SvNna,no,,,1.0,,,*svkga,no
277,Svk-v,Svkv,k-v,Svkv,,,,,0.0,Svk,v,Svkv,556033,high,train,Svkv,yes,,,,,0.0,svkgv,no
278,Svk-ta,Svkda,k-t,Svkda,,,,,1.0,Svk,ta,Svkda,556033,high,train,Svkda,yes,,,,,1.0,svkda,no
279,Sip-na,Sipna,p-n,Sipna,,,0.0,,,Sip,na,Sipna,556033,high,train,Simna,no,,,1.0,,,*sipna,no
280,Sip-v,Sipv,p-v,Sipv,,,,,0.0,Sip,v,Sipv,556033,high,train,Sipv,yes,,,,,0.0,sipv,no
281,Sip-ta,Sipda,p-t,Sipda,,,,,1.0,Sip,ta,Sipda,556033,high,train,Sipda,yes,,,,,1.0,sipda,no
282,alk-a,alka,lk-a,alka,0.0,0.0,,,0.0,alk,a,alka,556033,nonce,train,alka,yes,,0.0,,0.0,0.0,alga,no
283,alk-na,akna,lk-n,akna,0.0,1.0,0.0,0.0,,alk,na,akna,556033,nonce,train,alkna,no,,0.0,0.0,0.0,,alna,no
284,yalp-na,yalpna,lp-n,yalpna,0.0,0.0,0.0,0.0,,yalp,na,yalpna,556033,low,train,yalmna,no,1.0,0.0,1.0,0.0,,yalpna,yes
285,yalp-ta,yalda,lp-t,yalda,1.0,0.0,,,1.0,yalp,ta,yalda,556033,low,train,yalpda,no,0.0,0.0,,0.0,1.0,yalda,yes
286,yalp-a,yalpa,lp-a,yalpa,0.0,0.0,,,0.0,yalp,a,yalpa,556033,low,train,yalpa,yes,0.0,0.0,,0.0,0.0,yalpa,yes
287,yaT-na,yaTna,T-n,yaTna,,,0.0,,,yaT,na,yaTna,556033,low,train,yanna,no,,,1.0,,,yaNna,no
288,yaT-ta,yatta,T-t,yatta,,,,,0.0,yaT,ta,yatta,556033,low,train,yatda,no,,,,,1.0,yatda,no
289,yaT-a,yaTa,T-a,yaTa,,,,,0.0,yaT,a,yaTa,556033,low,train,yaTa,yes,,,,,0.0,yatda,no
290,vlk-ta,vlkda,lk-t,vlkda,0.0,0.0,,,1.0,vlk,ta,vlkda,556033,low,train,vlkda,yes,,0.0,,0.0,1.0,vlda,no
291,vlk-na,vkna,lk-n,vkna,0.0,1.0,0.0,0.0,,vlk,na,vkna,556033,low,train,vNna,no,,1.0,1.0,0.0,,vlkna,no
292,vlk-v,vlkv,lk-v,vlkv,0.0,0.0,,,0.0,vlk,v,vlkv,556033,low,train,vlkv,yes,,0.0,,0.0,0.0,vlkv,yes
293,vp-ta,vpda,p-t,vpda,,,,,1.0,vp,ta,vpda,556033,low,train,vpda,yes,,,,,1.0,vpda,yes
294,vp-v,vpv,p-v,vpv,,,,,0.0,vp,v,vpv,556033,low,train,vpv,yes,,,,,0.0,vpv,yes
295,vp-na,vpna,p-n,vpna,,,0.0,,,vp,na,vpna,556033,low,train,vmna,no,,,1.0,,,vpan,no
296,vP-v,vPv,P-v,vPv,,,,,0.0,vP,v,vPv,556033,low,train,vPv,yes,,,,,0.0,vpv,no
297,vP-ta,vpta,P-t,vpta,,,,,0.0,vP,ta,vpta,556033,low,train,vpda,no,,,,,1.0,vpda,no
298,vP-na,vpna,P-n,vpna,,,0.0,,,vP,na,vpna,556033,low,train,vmna,no,,,1.0,,,vpna,yes
299,yvlp-ta,jvlpda,lp-t,jvlpda,0.0,0.0,,,1.0,yvlp,ta,jvlpda,556033,low,train,jvlpda,yes,1.0,0.0,,0.0,1.0,yvlda,no
300,yvlp-na,jvlpna,lp-n,jvlpna,0.0,0.0,0.0,0.0,,yvlp,na,jvlpna,556033,low,train,jvlpna,yes,1.0,0.0,0.0,0.0,,yvlpna,no
301,yvlp-v,jvlpv,lp-v,jvlpv,0.0,0.0,,,0.0,yvlp,v,jvlpv,556033,low,train,jvlpv,yes,1.0,0.0,,0.0,0.0,yvlpv,no
302,yvT-v,jvTv,T-v,jvTv,,,,,0.0,yvT,v,jvTv,556033,low,train,jvTv,yes,,,,,0.0,yvtdv,no
303,yvT-ta,jvtda,T-t,jvtda,,,,,1.0,yvT,ta,jvtda,556033,low,train,jvtda,yes,,,,,1.0,yvtda,no
304,yvT-na,jvTna,T-n,jvTna,,,0.0,,,yvT,na,jvTna,556033,low,train,jvnna,no,,,1.0,,,yvtda,no
305,up-v,upv,p-v,upv,,,,,0.0,up,v,upv,556033,nonce,train,upv,yes,,,,,0.0,upv,yes
306,up-na,upna,p-n,upna,,,0.0,,,up,na,upna,556033,nonce,train,umna,no,,,1.0,,,upna,yes
307,up-ta,upda,p-t,upda,,,,,1.0,up,ta,upda,556033,nonce,train,upda,yes,,,,,1.0,upda,yes
308,xlP-v,xlPv,lP-v,xlPv,0.0,0.0,,,0.0,xlP,v,xlPv,556033,low,train,xlPv,yes,,0.0,,0.0,0.0,xlpv,no
309,xlP-na,xlna,lP-n,xlna,1.0,0.0,0.0,0.0,,xlP,na,xlna,556033,low,train,xPna,no,,1.0,0.0,0.0,,xNna,no
310,xlP-ta,xlda,lP-t,xlda,1.0,0.0,,,1.0,xlP,ta,xlda,556033,low,train,xlPda,no,,0.0,,0.0,1.0,xlda,yes
311,ik-ta,ikda,k-t,ikda,,,,,1.0,ik,ta,ikda,556033,low,train,ikda,yes,,,,,1.0,ikda,yes
312,ik-na,iNna,k-n,iNna,,,1.0,,,ik,na,iNna,556033,low,train,iNna,yes,,,1.0,,,ikna,no
313,ik-v,ikv,k-v,ikv,,,,,0.0,ik,v,ikv,556033,low,train,ikv,yes,,,,,0.0,ikv,yes
314,ilk-ta,ikda,lk-t,ikda,0.0,1.0,,,1.0,ilk,ta,ikda,556033,high,train,ikda,yes,,1.0,,0.0,1.0,ilda,no
315,ilk-v,ilkv,lk-v,ilkv,0.0,0.0,,,0.0,ilk,v,ilkv,556033,high,train,ilkv,yes,,0.0,,0.0,0.0,ilkv,yes
316,ilk-na,ikna,lk-n,ikna,0.0,1.0,0.0,0.0,,ilk,na,ikna,556033,high,train,iNna,no,,1.0,1.0,0.0,,ilna,no
317,ip-na,ipna,p-n,ipna,,,0.0,,,ip,na,ipna,556033,high,train,imna,no,,,1.0,,,ipna,yes
318,ip-v,ipv,p-v,ipv,,,,,0.0,ip,v,ipv,556033,high,train,ipv,yes,,,,,0.0,ipv,yes
319,ip-ta,ipta,p-t,ipta,,,,,0.0,ip,ta,ipta,556033,high,train,ipda,no,,,,,1.0,ipda,no
320,cak-ta,cakta,k-t,cakta,,,,,0.0,cak,ta,cakta,556033,high,train,cakda,no,,,,,1.0,cakda,no
321,cak-na,cakna,k-n,cakna,,,0.0,,,cak,na,cakna,556033,high,train,caNna,no,,,1.0,,,cakna,yes
322,cak-a,caka,k-a,caka,,,,,0.0,cak,a,caka,556033,high,train,caka,yes,,,,,0.0,cakga,no
323,cvk-na,cvkna,k-n,cvkna,,,0.0,,,cvk,na,cvkna,556033,high,train,cvNna,no,,,1.0,,,cvkna,yes
324,cvk-v,cvkv,k-v,cvkv,,,,,0.0,cvk,v,cvkv,556033,high,train,cvkv,yes,,,,,0.0,cvkv,yes
325,cvk-ta,cvkda,k-t,cvkda,,,,,1.0,cvk,ta,cvkda,556033,high,train,cvkda,yes,,,,,1.0,cvkda,yes
326,cvp-na,cvpna,p-n,cvpna,,,0.0,,,cvp,na,cvpna,556033,high,train,cvmna,no,,,1.0,,,cvpna,yes
327,cvp-ta,cvpda,p-t,cvpda,,,,,1.0,cvp,ta,cvpda,556033,high,train,cvpda,yes,,,,,1.0,cvpda,yes
328,cvp-v,cvpv,p-v,cvpv,,,,,0.0,cvp,v,cvpv,556033,high,train,cvpv,yes,,,,,0.0,cvpv,yes
329,cik-ta,cikta,k-t,cikta,,,,,0.0,cik,ta,cikta,556033,nonce,train,cikda,no,,,,,1.0,cikda,no
330,cik-na,cikna,k-n,cikna,,,0.0,,,cik,na,cikna,556033,nonce,train,ciNna,no,,,1.0,,,cikna,yes
331,cik-v,cikv,k-v,cikv,,,,,0.0,cik,v,cikv,556033,nonce,train,cikv,yes,,,,,0.0,cikv,yes
332,cilk-v,cilkv,lk-v,cilkv,0.0,0.0,,,0.0,cilk,v,cilkv,556033,nonce,train,cilkv,yes,0.0,0.0,,0.0,0.0,cilkv,yes
333,cilk-na,ciNna,lk-n,ciNna,0.0,1.0,1.0,0.0,,cilk,na,ciNna,556033,nonce,train,ciNna,yes,1.0,1.0,1.0,0.0,,cilkna,no
334,cilk-ta,cikda,lk-t,cikda,0.0,1.0,,,1.0,cilk,ta,cikda,556033,nonce,train,cilda,no,1.0,0.0,,0.0,1.0,cilda,no
335,cip-ta,cipda,p-t,cipda,,,,,1.0,cip,ta,cipda,556033,high,train,cipda,yes,,,,,1.0,cipda,yes
336,cip-na,cimna,p-n,cimna,,,1.0,,,cip,na,cimna,556033,high,train,cimna,yes,,,1.0,,,cipna,no
337,cip-v,cipv,p-v,cipv,,,,,0.0,cip,v,cipv,556033,high,train,cipv,yes,,,,,0.0,cipv,yes
338,Jalp-ta,Jalpda,lp-t,Jalpda,0.0,0.0,,,1.0,Jalp,ta,Jalpda,556033,high,train,Jalpda,yes,0.0,0.0,,0.0,1.0,Jalda,no
339,Jalp-a,Jalpa,lp-a,Jalpa,0.0,0.0,,,0.0,Jalp,a,Jalpa,556033,high,train,Jalpa,yes,0.0,0.0,,0.0,0.0,Jalpa,yes
340,Jalp-na,Japna,lp-n,Japna,0.0,1.0,0.0,0.0,,Jalp,na,Japna,556033,high,train,Jalmna,no,1.0,0.0,1.0,0.0,,Jalpna,no
341,Jik-v,Jikv,k-v,Jikv,,,,,0.0,Jik,v,Jikv,556033,low,train,Jikv,yes,,,,,0.0,Jikv,yes
342,Jik-ta,Jikda,k-t,Jikda,,,,,1.0,Jik,ta,Jikda,556033,low,train,Jikda,yes,,,,,1.0,Jikda,yes
343,Jik-na,Jikna,k-n,Jikna,,,0.0,,,Jik,na,Jikna,556033,low,train,JiNna,no,,,1.0,,,Jikna,yes
344,Cak-a,Caka,k-a,Caka,,,,,0.0,Cak,a,Caka,556033,nonce,train,Caka,yes,,,,,0.0,Caka,yes
345,Cak-na,Cakna,k-n,Cakna,,,0.0,,,Cak,na,Cakna,556033,nonce,train,CaNna,no,,,1.0,,,Cakna,yes
346,Cak-ta,Cakda,k-t,Cakda,,,,,1.0,Cak,ta,Cakda,556033,nonce,train,Cakda,yes,,,,,1.0,Cakda,yes
347,Top-a,Topa,p-a,Topa,,,,,0.0,Top,a,Topa,556033,nonce,train,Topa,yes,,,,,0.0,topa,no
348,Top-na,Topna,p-n,Topna,,,0.0,,,Top,na,Topna,556033,nonce,train,Tomna,no,,,1.0,,,topna,no
349,Top-ta,Topda,p-t,Topda,,,,,1.0,Top,ta,Topda,556033,nonce,train,Topda,yes,,,,,1.0,topda,no
350,halT-ta,halda,lT-t,halda,1.0,0.0,,,1.0,halT,ta,halda,556033,low,train,halda,yes,1.0,0.0,,0.0,1.0,halda,yes
351,halT-na,halna,lT-n,halna,1.0,0.0,0.0,0.0,,halT,na,halna,556033,low,train,halna,yes,1.0,0.0,0.0,0.0,,halpna,no
352,halT-a,halTa,lT-a,halTa,0.0,0.0,,,0.0,halT,a,halTa,556033,low,train,halTa,yes,0.0,0.0,,0.0,0.0,halga,no
353,hulT-ta,hulda,lT-t,hulda,1.0,0.0,,,1.0,hulT,ta,hulda,556033,low,train,hulda,yes,1.0,0.0,,0.0,1.0,hulda,yes
354,hulT-v,hulTv,lT-v,hulTv,0.0,0.0,,,0.0,hulT,v,hulTv,556033,low,train,hulTv,yes,0.0,0.0,,0.0,0.0,hulkv,no
